0.100
"","time"," number scenarios","profit_value"
"iter1",5.000,20.000,-262.322
"iter2",0.000,22.000,-244.020
"iter3",0.000,25.000,-240.196
"iter4",0.000,28.000,-254.116
"iter5",0.000,31.000,-250.828
"iter6",0.000,35.000,-253.743
"iter7",0.000,39.000,-252.432
"iter8",0.000,43.000,-254.829
"iter9",0.000,48.000,-245.797
"iter10",0.000,53.000,-253.288
"iter11",1.000,59.000,-251.473
"iter12",1.000,65.000,-252.713
"iter13",1.000,72.000,-251.869
"iter14",3.000,80.000,-252.499
"iter15",1.000,88.000,-252.766
"iter16",5.000,97.000,-251.877
"iter17",7.000,107.000,-252.387
"iter18",6.000,118.000,-252.645
"iter19",6.000,130.000,-251.341
"iter20",8.000,143.000,-253.013
"iter21",10.000,158.000,-252.635
"iter22",4.000,174.000,-251.763
"iter23",13.000,192.000,-252.521
"iter24",3.000,212.000,-252.741
"iter25",11.000,234.000,-251.924
"iter26",18.000,258.000,-252.430
"iter27",17.000,284.000,-252.321
"iter28",14.000,313.000,-251.979
"iter29",15.000,345.000,-252.097
"iter30",18.000,380.000,-252.459
